ds,yhat,yhat_lower,yhat_upper
2024-03-10,192.66555595557418,186.25481026503064,198.9121539347593
2024-03-11,192.33671838144934,186.3128181491442,198.868229396776
2024-03-12,192.2737234517046,185.89581521722104,198.75214216816647
2024-03-13,192.05727643485167,185.6236791931504,198.08727035100821
2024-03-14,192.28520758699662,185.82030931156217,199.05629828702538
2024-03-15,192.483492137263,185.96275568469085,199.40636942399772
2024-03-16,192.8879345602579,186.01914242223492,199.565579140013
2024-03-17,192.92499733159715,185.95390552554915,199.90698113362293
2024-03-18,192.59615975747263,186.1927499295569,199.73738638529196
2024-03-19,192.53316482772692,185.45689873819342,199.6964984906307
2024-03-20,192.316717810874,185.93962836200768,199.3988934791796
2024-03-21,192.54464896301937,185.74254456030388,200.27282570533694
2024-03-22,192.74293351328578,186.0400020956107,200.02739699199643
2024-03-23,193.14737593628013,186.0551042672717,200.703735577969
2024-03-24,193.18443870761894,185.25628679886404,200.7572260311899
2024-03-25,192.85560113349473,185.0427746261818,201.05138001086715
2024-03-26,192.79260620374907,184.4749013506265,200.4624559539829
2024-03-27,192.5761591868964,184.88662684684118,200.66555720107579
2024-03-28,192.80409033904152,185.6680344135907,200.76489414450097
2024-03-29,193.00237488930708,184.94691478020155,201.2243434715091
2024-03-30,193.40681731230197,185.44398034450583,201.53491725552735
2024-03-31,193.44388008364078,185.74981388120787,202.51442520173626
2024-04-01,193.11504250951722,184.7372471201752,201.82700232333394
2024-04-02,193.05204757977222,184.33661964861795,201.79265181361836
2024-04-03,192.83560056291887,184.2245179720349,201.96634908062683
2024-04-04,193.06353171506424,184.34637509132142,202.0032493917205
2024-04-05,193.26181626532986,184.36289497175105,202.37663762598754
2024-04-06,193.66625868832492,184.7913130849349,203.20786855445746
2024-04-07,193.70332145966316,184.50973356224813,203.5262273108092
2024-04-08,193.3744838855389,183.85897965532163,203.10708494466152
2024-04-09,193.31148895579454,183.8418560892143,203.54174380825933
2024-04-10,193.0950419389413,183.01517913569776,203.04216513286897
2024-04-11,193.322973091087,183.06995891572993,204.33441863184981
2024-04-12,193.5212576413526,183.3665860005733,204.71664393279696
2024-04-13,193.92570006434735,183.92213958954255,205.54454729558992
2024-04-14,193.9627628356858,183.72186676539675,204.68554321423656
2024-04-15,193.63392526156142,183.15018871525606,205.61787729804885
2024-04-16,193.5709303318169,182.20538463787832,204.72575437025247
2024-04-17,193.35448331496366,182.07308999026125,205.11556992407327
2024-04-18,193.58241446710946,182.6020866120152,205.237554774772
2024-04-19,193.78069901737393,182.6211223385813,206.38935673807026
2024-04-20,194.18514144036976,183.29623629112461,206.8893695554712
2024-04-21,194.2222042117087,182.773456469244,206.43619784976244
2024-04-22,193.89336663758388,181.7553541436461,206.71617805387848
2024-04-23,193.83037170783902,181.9266838315716,206.68395851778712
2024-04-24,193.613924690986,181.46029323692284,206.01302817404255
2024-04-25,193.84185584313155,180.34031334067453,208.1646937687963
2024-04-26,194.0401403933962,181.73573246982198,207.33850947322875
2024-04-27,194.44458281639214,180.80339513241958,207.7278362394214
2024-04-28,194.48164558773053,182.12483887612188,208.42501040530382
2024-04-29,194.15280801360677,180.0696835454512,207.9040303497049
2024-04-30,194.08981308386197,180.63387341838742,208.72060837306515
2024-05-01,193.8733660670084,179.74497489012424,208.25962637496988
2024-05-02,194.1012972191537,180.79206230662345,209.14455795395466
2024-05-03,194.2995817694195,180.2980976421029,209.75929300282522
2024-05-04,194.70402419241515,180.7161117143122,210.20900752182888
2024-05-05,194.7410869637529,179.75119127128323,210.10271654130224
2024-05-06,194.4122493896293,179.5605729768004,210.30226948186117
2024-05-07,194.34925445988412,179.05019785492522,210.0550806150719
2024-05-08,194.1328074430308,179.61116488813403,210.65236597900991
2024-05-09,194.36073859517646,178.2240007572908,211.134394979844
2024-05-10,194.55902314544178,178.56575175504295,211.41942566838824
2024-05-11,194.9634655684368,179.22292055798354,211.64372207803282
2024-05-12,195.0005283397753,178.01891531527102,212.28870814323244
2024-05-13,194.67169076565096,177.97270453701387,211.64225052946958
2024-05-14,194.60869583590664,177.89608717262854,212.4216198356152
2024-05-15,194.3922488190531,177.8870006379219,212.0784437630381
2024-05-16,194.62017997119798,177.08122064580465,213.10189051773384
2024-05-17,194.81846452146408,177.24371290950577,212.9679340865661
2024-05-18,195.22290694445977,177.26952638776424,214.01792496358905
2024-05-19,195.25996971579767,178.22409335888153,213.97595564697806
2024-05-20,194.93113214167346,176.52775096571514,215.39366990271105
2024-05-21,194.86813721192877,177.183860288485,213.88175441069262
2024-05-22,194.65169019507567,176.53441542550752,214.47206038722422
2024-05-23,194.8796213472207,175.84694350949985,215.11102191464633
2024-05-24,195.0779058974873,175.55135049436848,215.34904118191346
2024-05-25,195.4823483204816,175.50144455355877,216.21150159655605
2024-05-26,195.51941109182087,176.99286552230336,216.51858182516878
2024-05-27,195.19057351769675,175.51323530553583,216.4108582550462
2024-05-28,195.1275785879509,174.7159102069962,217.22000794159575
2024-05-29,194.911131571098,174.45399483632653,217.43329604765182
2024-05-30,195.13906272324314,174.1794071125782,217.75826354665176
2024-05-31,195.3373472735096,175.42391805838918,217.58906568818935
2024-06-01,195.74178969650458,175.1418628858511,219.88448945601556
2024-06-02,195.77885246784328,174.56470123398168,218.7918133283047
2024-06-03,195.45001489371924,173.24195381516094,218.60518139356253
2024-06-04,195.38701996397344,173.2687273456835,218.92374384638256
2024-06-05,195.17057294712043,173.14795336174814,219.70672190075877
2024-06-06,195.3985040992656,172.37351047033886,220.17681717146723
2024-06-07,195.59678864953094,172.73577852822297,220.3775433351925
2024-06-08,196.0012310725276,173.3377020356628,221.32259772315265
2024-06-09,196.0382938438651,172.85742308856263,221.33233457493884
2024-06-10,195.70945626974134,171.625358421167,221.21596543356088
2024-06-11,195.64646133999554,171.74016809442907,221.92207758807157
2024-06-12,195.43001432314298,170.94486776106223,222.76398164760442
2024-06-13,195.65794547528805,171.6116385934826,222.99532641488636
2024-06-14,195.8562300255532,171.81011346109804,222.79174088799448
2024-06-15,196.2606724485494,172.81627484770053,223.74876949254025
2024-06-16,196.297735219888,171.34204038361688,223.7439789822841
2024-06-17,195.9688976457634,170.58003733547798,225.21874492392516
2024-06-18,195.90590271601852,170.9925196513795,223.35485548376522
2024-06-19,195.68945569916536,170.4071180662044,225.63215871720539
2024-06-20,195.91738685131077,169.7878910074421,225.62424198052256
2024-06-21,196.11567140157598,169.65621544913745,225.11568368877724
2024-06-22,196.52011382457238,170.0181659265261,225.33976173150373
2024-06-23,196.55717659591068,171.1835638951711,226.97193343486722
2024-06-24,196.22833902178547,169.13162244923927,227.0926161669786
2024-06-25,196.16534409204067,168.51187788709495,227.14891654800627
2024-06-26,195.9488970751877,168.57783893288243,227.4767180922887
2024-06-27,196.17682822733292,168.70128704107213,227.4774945956884
2024-06-28,196.3751127775988,167.2041784652126,227.78451320765015
2024-06-29,196.77955520059345,169.27122611361528,227.79163418097357
